user_id,items,created_at,updated_at
49086,"[22572, 66311, 68809, 48206, 3720]",2024-07-10T10:56:47,2025-01-12T17:04:29
26676,"[86789, 56661, 87848, 52425, 81698]",2025-01-03T22:55:56,2025-01-06T17:06:33
53980,"[19090, 20515, 11811, 44692, 11865]",2023-05-11T00:08:37,2023-06-22T04:58:17
85125,"[86799, 89454, 38477, 33205, 97456]",2023-02-20T19:11:31,2024-04-12T07:45:07
37958,"[52109, 43219, 95571, 68740, 81488]",2023-11-30T02:14:00,2024-02-01T21:22:49
98439,"[42389, 93767, 11978, 41050, 59737]",2023-02-10T13:01:18,2023-05-14T02:07:02
82978,"[30688, 76915, 40514, 94136, 1162]",2024-01-08T20:45:39,2025-01-09T03:20:54
17866,"[51721, 37225, 64777, 33521, 69667]",2023-05-02T14:41:29,2025-01-02T15:34:49
10361,"[13112, 69723, 47768, 75156, 72196]",2024-02-10T06:11:13,2024-03-02T11:02:50
82865,"[40927, 29223, 12030, 19687, 21500]",2023-03-07T20:11:49,2023-04-17T07:13:17
29768,"[83374, 42804, 21874, 88875, 79263]",2023-12-04T18:15:26,2024-07-28T08:04:43
89575,"[38110, 94341, 71365, 93719, 24207]",2023-07-13T12:37:25,2024-05-17T14:14:52
76665,"[27824, 82079, 99715, 75476, 19060]",2024-12-10T23:16:18,2025-01-07T17:40:54
648,"[95001, 99189, 44005, 73566, 97888]",2024-09-13T16:12:48,2024-09-29T11:53:05
33703,"[36803, 30454, 34483, 61410, 42479]",2023-02-18T00:04:32,2024-02-15T17:13:25
32882,"[89496, 13402, 97226, 30400, 80506]",2024-05-21T10:52:23,2024-05-25T07:50:32
82664,"[54001, 47985, 63903, 40619, 94136]",2023-09-11T21:32:16,2024-03-12T02:22:30
81269,"[8531, 27314, 39008, 24442, 69500]",2024-03-22T14:09:26,2024-11-12T06:04:48
6148,"[94417, 80101, 58638, 81359, 57392]",2024-10-23T18:12:45,2025-01-01T17:44:53
6104,"[19560, 75102, 53358, 40535, 56857]",2024-12-20T07:49:17,2025-01-16T00:09:35
61856,"[51369, 52232, 46363, 6657, 6903]",2024-10-07T14:56:22,2024-11-18T14:37:12
86056,"[65309, 12689, 88863, 24808, 65284]",2024-08-10T20:41:30,2024-10-29T17:57:02
31607,"[56964, 13112, 73638, 52232, 34676]",2024-02-09T20:43:17,2024-05-18T22:22:53
39695,"[27572, 48539, 56870, 91026, 73638]",2024-05-05T21:56:32,2024-11-19T16:57:08
79798,"[49414, 63334, 80506, 5907, 48716]",2023-07-19T10:16:38,2024-12-03T14:13:29
36949,"[36803, 36647, 75645, 68344, 24045]",2024-03-21T18:20:47,2024-05-11T08:58:09
16558,"[2601, 3048, 2651, 3001, 95001]",2023-07-28T22:53:11,2023-12-25T16:42:32
56977,"[17577, 15214, 43254, 30143, 65282]",2024-11-10T15:41:44,2024-11-27T00:08:20
32017,"[96882, 34733, 51643, 59179, 76933]",2023-04-01T22:02:10,2023-08-24T06:26:37
18214,"[11264, 25861, 95534, 79069, 3048]",2024-10-18T20:57:33,2024-11-26T06:12:59
64526,"[3090, 27050, 15426, 42389, 60772]",2023-07-22T03:49:03,2024-05-15T15:39:10
8485,"[70443, 62445, 86403, 83724, 97086]",2023-03-28T21:53:02,2024-08-26T22:13:06
71016,"[11865, 24207, 86937, 13968, 42191]",2023-06-05T10:11:05,2024-01-01T14:50:06
15386,"[57449, 33521, 26460, 72116, 47385]",2024-12-26T16:06:52,2025-01-11T08:52:18
53930,"[53894, 33680, 7321, 83724, 29135]",2024-12-11T23:36:39,2025-01-17T06:18:05
4492,"[25500, 11349, 27050, 54656, 96098]",2024-06-29T13:35:15,2024-08-02T03:33:05
86387,"[41050, 18921, 88199, 45308, 91875]",2024-10-08T08:48:35,2024-12-11T15:26:08
1876,"[85393, 25993, 75102, 35100, 74992]",2024-06-29T12:55:34,2025-01-20T08:56:26
81744,"[39903, 98712, 28883, 84358, 27227]",2024-04-22T04:52:16,2024-04-24T18:06:47
39256,"[83982, 11264, 68809, 55158, 21249]",2024-12-18T23:47:48,2024-12-31T15:29:05
41452,"[76463, 71342, 88388, 75476, 81831]",2024-02-01T06:34:41,2024-08-30T09:42:49
38729,"[2601, 22636, 11978, 24194, 87259]",2023-06-28T23:25:16,2023-10-03T06:30:11
52399,"[53804, 39903, 22458, 23351, 81831]",2024-07-23T18:58:55,2024-11-05T01:29:41
74456,"[11298, 88490, 88499, 90018, 89556]",2024-12-24T13:22:36,2025-01-20T02:52:27
74892,"[6669, 19245, 10408, 31552, 60772]",2024-09-25T18:40:51,2024-10-27T12:55:10
72425,"[96199, 84472, 45051, 86789, 18760]",2023-12-19T04:51:42,2024-06-17T15:59:52
27579,"[25302, 75137, 69871, 53235, 3822]",2023-12-23T00:41:16,2024-11-16T07:22:24
