id,name,artist,songwriters,duration,genres,album,created_at,updated_at
81103,understand,Pamela Oneal,Jonathan Schultz,28:05,card,agree,2023-12-11T08:12:33,2024-10-25T19:23:27
89698,never,Shane Black,Catherine Williams,46:47,charge,community,2024-06-20T19:43:43,2024-11-12T09:48:35
30328,all,Nicole Martin,Chad Smith,59:56,understand,ok,2025-01-08T14:48:17,2024-08-12T23:15:51
78279,lay,Anna Jackson,Amy Harding,48:36,interest,data,2025-01-10T23:36:30,2024-03-17T18:54:25
84753,above,Anita Taylor,Mark Hale,22:28,play,answer,2024-12-03T17:28:32,2025-01-13T13:34:46
4700,pattern,George Beard,Joshua Glenn,35:29,fish,less,2024-10-15T15:59:15,2024-10-11T20:40:43
1783,well,April Kaiser,Nicole Olson,41:50,vote,thousand,2023-03-21T08:52:00,2024-06-30T04:51:47
57832,many,Kimberly Parker,Jackie Carlson,16:16,never,step,2023-06-03T23:01:05,2024-04-30T16:35:51
39098,argue,Sharon Robinson,Matthew Mendoza,03:24,court,management,2023-03-18T14:29:32,2024-02-22T22:19:38
16674,guess,Stephanie Johnson,Michelle Chambers,29:32,phone,watch,2024-06-15T15:53:06,2024-02-03T11:53:25
40927,government,Emily Garza,Todd Johnston,06:17,others,ok,2024-12-26T07:53:59,2024-11-28T12:11:11
2302,day,Bobby Alvarado,Erika Cole,43:10,likely,within,2024-06-03T18:55:35,2024-02-18T19:26:26
7531,business,Michael Lopez,Lauren Baldwin,03:42,opportunity,would,2024-11-25T23:28:32,2024-04-16T06:07:08
19833,nature,Stephanie Robinson,Carlos Strong,24:40,right,central,2024-07-25T00:20:08,2024-03-19T14:55:05
85741,others,Angela Cox,Jody Hall,54:43,fire,buy,2023-08-31T14:42:13,2024-08-07T14:10:48
53358,center,Julie Williams,Robert Nunez,24:59,production,lawyer,2024-08-02T17:05:44,2024-08-16T19:12:01
60114,television,Patricia Rangel,Gabriel Reed,11:26,garden,most,2024-11-10T07:05:48,2024-08-01T17:04:09
59737,unit,Michelle Mccoy,Jessica Walker,25:11,everything,with,2024-02-06T13:40:42,2024-05-19T09:30:27
75908,lawyer,Carlos Cabrera,Debra Wright,52:17,wall,life,2024-06-22T00:28:43,2024-01-31T01:41:01
57762,figure,Edward Lyons,Daniel Reilly,16:16,beautiful,see,2024-08-04T14:02:38,2024-06-29T15:30:55
30206,power,Valerie Stanton,Derek Wilson,58:16,billion,rule,2023-06-05T06:19:08,2024-02-22T17:03:58
75409,up,Joshua Kirk,Christine Williams,04:31,current,very,2024-12-30T03:49:59,2024-09-15T11:43:49
91875,travel,Sharon Martinez,Thomas Russell,03:52,effect,inside,2023-12-10T18:02:46,2024-03-19T22:19:00
98712,prove,Mary Butler,Mark Bush,09:12,something,moment,2024-05-19T21:31:28,2024-10-14T06:14:25
89496,reduce,Blake Newton,Patricia Sutton,45:18,all,who,2024-04-05T12:49:48,2024-06-08T12:00:21
24190,where,Patrick Garcia,William Cruz,08:37,drop,he,2024-03-17T13:32:24,2024-05-03T09:17:38
41137,probably,Tristan Pittman,David Rowland,56:51,head,develop,2024-07-01T05:03:09,2024-03-08T11:02:00
21746,especially,Brandi Hall,Kari Nelson,04:31,national,side,2024-07-02T01:09:38,2024-05-26T02:39:05
79720,high,Manuel Abbott,Patrick Clark,20:17,go,according,2024-04-07T16:49:37,2024-08-01T09:45:11
26460,benefit,Tiffany Burgess,John Williams,32:42,it,become,2024-03-03T15:24:19,2024-09-21T05:04:57
81770,somebody,Erin Mitchell,Vanessa Wood,19:15,each,resource,2023-12-12T04:54:22,2024-09-09T21:43:23
12288,outside,John Mccall,William Torres,36:45,source,catch,2024-04-25T05:40:47,2024-01-25T09:23:20
